SNI 2007;;;
;;;
Detaljgrupp (Officiell kodstruktur);Detaljgrupp;Benämning ;
01.110;01110;Odling av spannmål (utom ris), baljväxter och oljeväxter;
01.120;01120;Odling av ris;
01.131;01131;Potatisodling;
01.132;01132;Sockerbetsodling;
01.133;01133;Odling av grönsaker (köksväxter) på friland;
01.134;01134;Odling av grönsaker (köksväxter) i växthus;
01.135;01135;Svampodling m.m.;
01.140;01140;Odling av sockerrör;
01.150;01150;Odling av tobak;
01.160;01160;Odling av fiberväxter;
01.191;01191;Odling av prydnadsväxter i växthus;
01.199;01199;Odling av övriga ett- och tvååriga växter;
01.210;01210;Odling av druvor;
01.220;01220;Odling av tropiska och subtropiska frukter;
01.230;01230;Odling av citrusfrukter;
01.240;01240;Odling av kärnfrukter och stenfrukter;
01.250;01250;Odling av andra frukter och bär samt nötter;
01.260;01260;Odling av oljehaltiga frukter;
01.270;01270;Odling av växter för dryckesframställning;
01.280;01280;Odling av kryddväxter, drog- och medicinalväxter;
01.290;01290;Odling av andra fleråriga växter;
01.301;01301;Odling av plantskoleväxter i växthus;
01.302;01302;Odling av plantskoleväxter m.m. på friland;
01.410;01410;Mjölkproduktion och uppfödning av nötkreatur av mjölkras;
01.420;01420;Uppfödning av andra nötkreatur och bufflar;
01.430;01430;Uppfödning av hästar och andra hästdjur;
01.440;01440;Uppfödning av kameler och kameldjur;
01.450;01450;Uppfödning av får och getter;
01.461;01461;Uppfödning av smågrisar;
01.462;01462;Uppfödning av slaktsvin;
01.471;01471;Äggproduktion (för försäljning);
01.472;01472;Uppfödning av fjäderfä, ej äggproduktion;
01.491;01491;Renskötsel;
01.492;01492;Uppfödning av sällskapsdjur;
01.499;01499;Övrig uppfödning av andra djur;
01.500;01500;Blandat jordbruk;
01.610;01610;Service till växtodling;
01.620;01620;Service till husdjursskötsel;
01.630;01630;Bearbetning av skördade växter;
01.640;01640;Bearbetning av utsäde;
01.700;01700;Jakt och service i anslutning härtill;
02.101;02101;Skogsförvaltning;
02.102;02102;Skogsskötsel;
02.109;02109;Övrig skoglig verksamhet;
02.200;02200;Drivning;
02.300;02300;Insamling av annat vilt växande skogsmaterial än trä;
02.401;02401;Virkesmätning;
02.409;02409;Övrig service till skogsbruk;
03.111;03111;Trålfiske i saltvatten;
03.119;03119;Övrigt saltvattensfiske;
03.120;03120;Sötvattensfiske;
03.210;03210;Fiskodling i saltvatten;
03.220;03220;Fiskodling i sötvatten;
05.100;05100;Stenkolsutvinning;
05.200;05200;Brunkolsutvinning;
06.100;06100;Utvinning av råpetroleum;
06.200;06200;Utvinning av naturgas;
07.100;07100;Järnmalmsutvinning;
07.210;07210;Utvinning av uran- och toriummalm;
07.290;07290;Utvinning av annan malm;
08.110;08110;Brytning av natursten, kalk- och gipssten, krita och skiffer;
08.120;08120;"Utvinning av sand, grus och berg; utvinning av lera och kaolin";
08.910;08910;Brytning av kemiska mineral;
08.920;08920;Torvutvinning;
08.930;08930;Saltutvinning;
08.990;08990;Diverse övrig utvinning av mineral;
09.100;09100;Stödtjänster till råpetroleum- och naturgasutvinning;
09.900;09900;Stödtjänster till annan utvinning;
10.111;10111;Kreatursslakt;
10.112;10112;Styckning av kött;
10.120;10120;Beredning och hållbarhetsbehandling av fjäderfäkött;
10.130;10130;Charkuteri- och annan köttvarutillverkning;
10.200;10200;Beredning och hållbarhetsbehandling av fisk samt skal- och blötdjur;
10.310;10310;Beredning och hållbarhetsbehandling av potatis;
10.320;10320;Juice- och safttillverkning;
10.390;10390;Annan beredning och hållbarhetsbehandling av frukt, bär och grönsaker;
10.410;10410;Framställning av oljor och fetter;
10.420;10420;Matfettstillverkning;
10.511;10511;Osttillverkning;
10.519;10519;Annan mejerivarutillverkning;
10.520;10520;Glasstillverkning;
10.611;10611;Mjöltillverkning;
10.612;10612;Tillverkning av frukostflingor, mixer och andra livsmedelsberedningar av kvarnprodukter;
10.620;10620;Stärkelsetillverkning;
10.710;10710;Tillverkning av mjukt matbröd och färska bakverk;
10.721;10721;Knäckebrödstillverkning;
10.722;10722;Tillverkning av kex och konserverade bakverk;
10.730;10730;Tillverkning av pastaprodukter;
10.810;10810;Sockertillverkning;
10.821;10821;Tillverkning av sockerkonfektyrer;
10.822;10822;Tillverkning av choklad och chokladkonfektyrer;
10.830;10830;Framställning av te och kaffe;
10.840;10840;Tillverkning av senap, ketchup, kryddor och andra smaksättningsmedel;
10.850;10850;Tillverkning av lagad mat och färdigrätter;
10.860;10860;Tillverkning av homogeniserade livsmedelspreparat inklusive dietmat;
10.890;10890;Framställning av andra livsmedel;
10.910;10910;Framställning av beredda fodermedel;
10.920;10920;Framställning av mat till sällskapsdjur;
11.010;11010;Destillering, rening och tillblandning av spritdrycker;
11.020;11020;Framställning av vin från druvor;
11.030;11030;Framställning av cider och andra fruktviner;
11.040;11040;Framställning av andra icke-destillerade jästa drycker;
11.050;11050;Framställning av öl;
11.060;11060;Framställning av malt;
11.070;11070;Framställning av läskedrycker, mineralvatten och annat vatten på flaska;
12.000;12000;Tobaksvarutillverkning;
13.100;13100;Garntillverkning;
13.200;13200;Vävnadstillverkning;
13.300;13300;Blekning, färgning och annan textilberedning;
13.910;13910;Tillverkning av trikåväv;
13.921;13921;Sömnad av gardiner, sängkläder och linnevaror;
13.922;13922;Tillverkning av presenningar, tält, segel o.d.;
13.930;13930;Tillverkning av mattor;
13.940;13940;Tågvirkes- och bindgarnstillverkning;
13.950;13950;Tillverkning av bondad duk;
13.960;13960;Tillverkning av andra tekniska textilier och industritextilier;
13.990;13990;Övrig textilietillverkning;
14.110;14110;Tillverkning av läder- och skinnkläder;
14.120;14120;Tillverkning av arbets-, skydds- och överdragskläder;
14.130;14130;Tillverkning av andra gång- och ytterkläder;
14.140;14140;Tillverkning av underkläder, skjortor och blusar;
14.190;14190;Tillverkning av andra beklädnadsvaror och tillbehör;
14.200;14200;Tillverkning av pälsvaror;
14.310;14310;Tillverkning av strumpor;
14.390;14390;Tillverkning av andra trikåvaror;
15.110;15110;"Garvning och annan läderberedning; pälsberedning";
15.120;15120;Tillverkning av reseffekter, handväskor, sadel- och seldon m. m.;
15.200;15200;Tillverkning av skodon;
16.101;16101;Sågning av trä;
16.102;16102;Hyvling av trä;
16.103;16103;Träimpregnering;
16.210;16210;Tillverkning av fanér och träbaserade skivor;
16.220;16220;Tillverkning av sammansatta parkettgolv;
16.231;16231;Tillverkning av monteringsfärdiga trähus;
16.232;16232;Tillverkning av dörrar av trä;
16.233;16233;Tillverkning av fönster av trä;
16.239;16239;Tillverkning av övriga byggnads- och inredningssnickerier;
16.240;16240;Träförpackningstillverkning;
16.291;16291;Tillverkning av förädlade trädbränslen;
16.292;16292;Övrig trävarutillverkning;
16.293;16293;Tillverkning av varor av kork, halm, rotting o.d.;
17.111;17111;Tillverkning av mekanisk eller halvkemisk massa;
17.112;17112;Sulfatmassatillverkning;
17.113;17113;Sulfitmassatillverkning;
17.121;17121;Tillverkning av tidnings- och journalpapper;
17.122;17122;Tryckpapperstillverkning, ej tidnings- och journalpapper;
17.123;17123;Tillverkning av kraftpapper och kraftpapp;
17.129;17129;Övrig tillverkning av papper och papp;
17.211;17211;Tillverkning av wellpapp och wellpappförpackningar;
17.219;17219;Övrig tillverkning av pappers- och pappförpackningar;
17.220;17220;Tillverkning av hushålls- och hygienartiklar av papper;
17.230;17230;Tillverkning av skrivpapper, kuvert o.d.;
17.240;17240;Tapettillverkning;
17.290;17290;Tillverkning av andra pappers- och pappvaror;
18.110;18110;Tryckning av dagstidningar;
18.121;18121;Tryckning av tidskrifter;
18.122;18122;Tryckning av böcker och övriga trycksaker;
18.130;18130;Grafiska tjänster före tryckning (prepress/premedia);
18.140;18140;Bokbindning och andra tjänster i samband med tryckning;
18.200;18200;Reproduktion av inspelningar;
19.100;19100;Tillverkning av stenkolsprodukter;
19.200;19200;Petroleumraffinering;
20.110;20110;Industrigasframställning;
20.120;20120;Tillverkning av färgämnen;
20.130;20130;Tillverkning av andra oorganiska baskemikalier;
20.140;20140;Tillverkning av andra organiska baskemikalier;
20.150;20150;Tillverkning av gödselmedel och kväveprodukter;
20.160;20160;Basplastframställning;
20.170;20170;Tillverkning av syntetiskt basgummi;
20.200;20200;Tillverkning av bekämpningsmedel och andra lantbrukskemiska produkter;
20.300;20300;Tillverkning av färg, lack, tryckfärg m.m.;
20.410;20410;Tillverkning av tvål, såpa, tvättmedel och polermedel;
20.420;20420;Tillverkning av parfymer och toalettartiklar;
20.510;20510;Sprängämnestillverkning;
20.520;20520;Tillverkning av lim;
20.530;20530;Tillverkning av eteriska oljor;
20.590;20590;Tillverkning av övriga kemiska produkter;
20.600;20600;Konstfibertillverkning;
21.100;21100;Tillverkning av farmaceutiska basprodukter;
21.200;21200;Tillverkning av läkemedel;
22.110;22110;"Tillverkning av däck och slangar; regummering";
22.190;22190;Annan gummivarutillverkning;
22.210;22210;Tillverkning av plasthalvfabrikat;
22.220;22220;Plastförpackningstillverkning;
22.230;22230;Byggplastvarutillverkning;
22.290;22290;Annan plastvarutillverkning;
23.110;23110;Framställning av planglas;
23.120;23120;Bearbetning av planglas;
23.130;23130;Tillverkning av buteljer, glasförpackningar och husgeråd av glas;
23.140;23140;Tillverkning av glasfiber;
23.190;23190;Tillverkning av andra glasvaror inklusive tekniska glasvaror;
23.200;23200;Tillverkning av eldfasta produkter;
23.310;23310;Tillverkning av keramiska golv- och väggplattor;
23.320;23320;Tillverkning av murtegel, takpannor och andra byggvaror av tegel;
23.410;23410;Tillverkning av keramiska hushålls- och prydnadsartiklar;
23.420;23420;Tillverkning av keramiska sanitetsartiklar;
23.430;23430;Tillverkning av keramiska isolatorer o.d.;
23.440;23440;Tillverkning av andra tekniska keramiska produkter;
23.490;23490;Tillverkning av andra keramiska produkter;
23.510;23510;Tillverkning av cement;
23.520;23520;Tillverkning av kalk och gips;
23.610;23610;Tillverkning av betongvaror  för byggändamål;
23.620;23620;Tillverkning av gipsvaror  för byggändamål;
23.630;23630;Tillverkning av fabriksblandad betong;
23.640;23640;Tillverkning av murbruk;
23.650;23650;Tillverkning av fibercementvaror;
23.690;23690;Tillverkning av andra varor av betong, cement och gips;
23.701;23701;Huggning, formning och slutlig bearbetning av sten för byggnadsändamål;
23.709;23709;Huggning, formning och slutlig bearbetning av sten för prydnadsändamål;
23.910;23910;Slipmedelstillverkning;
23.991;23991;Tillverkning av varor av sten- och mineralull;
23.999;23999;Diverse övrig tillverkning av icke-metalliska mineraliska produkter;
24.100;24100;Framställning av järn och stål samt ferrolegeringar;
24.200;24200;Tillverkning av rör, ledningar, ihåliga profiler och tillbehör av stål;
24.310;24310;Tillverkning av kalldragen stålstång;
24.320;24320;Tillverkning av kallvalsade stålband;
24.330;24330;Tillverkning av andra kallformade produkter av stål;
24.340;24340;Tillverkning av kalldragen ståltråd;
24.410;24410;Framställning av ädla metaller;
24.420;24420;Framställning av aluminium;
24.430;24430;Framställning av bly, zink och tenn;
24.440;24440;Framställning av koppar;
24.450;24450;Framställning av andra metaller;
24.460;24460;Tillverkning av kärnbränsle;
24.510;24510;Gjutning av järn;
24.520;24520;Gjutning av stål;
24.530;24530;Gjutning av lättmetall;
24.540;24540;Gjutning av andra metaller;
25.110;25110;Tillverkning av metallstommar och delar därav;
25.120;25120;Tillverkning av dörrar och fönster av metall;
25.210;25210;Tillverkning av radiatorer och pannor för centraluppvärmning;
25.290;25290;Tillverkning av andra cisterner, tankar, kar och andra behållare av metall;
25.300;25300;Tillverkning av ånggeneratorer utom varmvattenpannor för centraluppvärmning;
25.400;25400;Tillverkning av vapen och ammunition;
25.500;25500;"Smidning, pressning, prägling och valsning av metall; pulvermetallurgi";
25.610;25610;Beläggning och överdragning av metall;
25.620;25620;Metallegoarbeten;
25.710;25710;Tillverkning av bestick;
25.720;25720;Tillverkning av lås och gångjärn;
25.730;25730;Tillverkning av verktyg och redskap;
25.910;25910;Tillverkning av stålfat o.d. behållare;
25.920;25920;Tillverkning av lättmetallförpackningar;
25.930;25930;Tillverkning av metalltrådvaror, kedjor och fjädrar;
25.940;25940;Tillverkning av nitar och skruvar;
25.991;25991;Tillverkning av diskbänkar, sanitetsgods m. m. av metall för byggändamål;
25.999;25999;Diverse övrig metallvarutillverkning;
26.110;26110;Tillverkning av elektroniska komponenter;
26.120;26120;Tillverkning av kretskort;
26.200;26200;Tillverkning av datorer och kringutrustning;
26.300;26300;Tillverkning av kommunikationsutrustning;
26.400;26400;Tillverkning av hemelektronik;
26.510;26510;Tillverkning av instrument och apparater för mätning, provning och navigering;
26.520;26520;Urtillverkning;
26.600;26600;Tillverkning av strålningsutrustning samt elektromedicinsk och elektroterapeutisk utrustning;
26.700;26700;Tillverkning av optiska instrument och fotoutrustning;
26.800;26800;Tillverkning av magnetiska och optiska medier;
27.110;27110;Tillverkning av elmotorer, generatorer och transformatorer;
27.120;27120;Tillverkning av eldistributions- och elkontrollapparater;
27.200;27200;Batteri- och ackumulatortillverkning;
27.310;27310;Tillverkning av optiska fiberkablar;
27.320;27320;Tillverkning av andra elektroniska och elektriska ledningar och kablar;
27.330;27330;Tillverkning av kabeltillbehör;
27.400;27400;Tillverkning av belysningsarmatur;
27.510;27510;Tillverkning av elektriska hushållsmaskiner och hushållsapparater;
27.520;27520;Tillverkning av icke-elektriska hushållsmaskiner och hushållsapparater;
27.900;27900;Tillverkning av annan elapparatur;
28.110;28110;Tillverkning av motorer och turbiner utom för luftfartyg och fordon;
